model,avg_queue_mean,avg_queue_n,throughput_mean,throughput_n
DQN,12.564,10,419.1,10
GNN-DQN,10.415,10,457.3,10
GAT-DQN-Base,10.481,10,456.0,10
GAT-DQN,10.717,10,473.4,10
