episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,100,DQN,0.9894294117647059,0.4,600,489.0,9,0.0001,0.0029651234567901245,34.0,271,193.6580310880829,489.0,0.022368517412912625,0.0,0.0,0.0,0.0
2,100,DQN,0.9788411764705882,0.40606060606060607,1200,600.0,9,0.0001,0.0010283950617283955,38.666666666666664,273,189.48387096774192,600.0,0.00849465153956165,0.0,0.0,0.0,0.0
3,100,DQN,0.9682529411764705,0.41212121212121217,1800,600.0,9,0.0001,0.005127777777777779,38.77777777777778,286,205.36692913385826,600.0,0.008595533190915982,0.0,0.0,0.0,0.0
4,100,DQN,0.957664705882353,0.4181818181818182,2400,600.0,9,0.0001,-0.0007157407407407415,38.111111111111114,257,192.1098169717138,600.0,0.008777765041061987,0.0,0.0,0.0,0.0
5,100,DQN,0.9470764705882353,0.42424242424242425,3000,600.0,9,0.0001,0.004971296296296294,37.666666666666664,257,204.75879396984925,600.0,0.008828024179674685,0.0,0.0,0.0,0.0
6,100,DQN,0.9364882352941176,0.4303030303030303,3600,600.0,9,0.0001,0.002573765432098765,32.22222222222222,301,183.33389261744966,600.0,0.008856759609188884,0.0,0.0,0.0,0.0
7,100,DQN,0.9259,0.4363636363636364,4200,600.0,9,0.0001,0.002230864197530863,34.44444444444444,273,189.25171232876713,600.0,0.009124799395600954,0.0,0.0,0.0,0.0
8,100,DQN,0.9153117647058824,0.44242424242424244,4800,600.0,9,0.0001,0.004461728395061726,43.333333333333336,259,224.82,600.0,0.009003808763809502,0.0,0.0,0.0,0.0
9,100,DQN,0.9047235294117647,0.4484848484848485,5400,600.0,9,0.0001,0.0031993827160493845,34.111111111111114,270,199.50777202072538,600.0,0.009062358632994195,0.0,0.0,0.0,0.0
10,100,DQN,0.894135294117647,0.4545454545454546,6000,600.0,9,0.0001,0.0043496913580246925,36.0,248,199.00696864111498,600.0,0.008961862723032633,0.0,0.0,0.0,0.0
11,100,DQN,0.8835470588235295,0.46060606060606063,6600,600.0,9,0.0001,0.005470061728395062,37.44444444444444,294,182.4620253164557,600.0,0.00901144592401882,0.0,0.0,0.0,0.0
12,100,DQN,0.8729588235294118,0.4666666666666667,7200,600.0,9,0.0001,0.003718209876543212,38.111111111111114,273,194.81523500810374,600.0,0.009054254118042688,0.0,0.0,0.0,0.0
13,100,DQN,0.8623705882352941,0.4727272727272728,7800,600.0,9,0.0001,0.0003308641975308637,39.0,276,198.21303656597775,600.0,0.008977814668323845,0.0,0.0,0.0,0.0
14,100,DQN,0.8517823529411764,0.4787878787878788,8400,600.0,9,0.0001,0.001662962962962963,36.888888888888886,260,190.96452702702703,600.0,0.009074411562178284,0.0,0.0,0.0,0.0
15,100,DQN,0.8411941176470588,0.48484848484848486,9000,600.0,9,0.0001,0.003516975308641972,35.22222222222222,262,187.42586206896553,600.0,0.009173657702437292,0.0,0.0,0.0,0.0
16,100,DQN,0.8306058823529412,0.49090909090909096,9600,600.0,9,0.0001,0.0034512345679012335,38.666666666666664,300,188.72392638036808,600.0,0.009416289637641361,0.0,0.0,0.0,0.0
17,100,DQN,0.8200176470588235,0.496969696969697,10200,600.0,9,0.0001,0.003870679012345674,37.111111111111114,271,204.36258278145695,600.0,0.00964624182631572,0.0,0.0,0.0,0.0
18,100,DQN,0.8094294117647058,0.503030303030303,10800,600.0,9,0.0001,0.0017617283950617287,35.111111111111114,255,201.4325744308231,600.0,0.009607766853490223,0.0,0.0,0.0,0.0
19,100,DQN,0.7988411764705883,0.5090909090909091,11400,600.0,9,0.0001,0.0026777777777777785,40.111111111111114,265,202.3408,600.0,0.009571317325656612,0.0,0.0,0.0,0.0
20,100,DQN,0.7882529411764706,0.5151515151515151,12000,600.0,9,0.0001,0.0019003086419753063,40.22222222222222,272,208.7018927444795,600.0,0.009719415227106462,0.0,0.0,0.0,0.0
21,100,DQN,0.7776647058823529,0.5212121212121212,12600,600.0,9,0.0001,0.0036391975308642,32.44444444444444,224,198.73592233009708,600.0,0.009631933309137822,0.0,0.0,0.0,0.0
22,100,DQN,0.7670764705882352,0.5272727272727273,13200,600.0,9,0.0001,0.0036037037037037045,37.77777777777778,272,197.04376012965963,600.0,0.009727226412699868,0.0,0.0,0.0,0.0
23,100,DQN,0.7564882352941177,0.5333333333333333,13800,600.0,9,0.0001,0.0037981481481481416,37.333333333333336,283,200.93709677419355,600.0,0.00976196423250561,0.0,0.0,0.0,0.0
24,100,DQN,0.7459,0.5393939393939394,14400,600.0,9,0.0001,0.001971296296296297,36.0,255,200.26678141135972,600.0,0.009632320450618863,0.0,0.0,0.0,0.0
25,100,DQN,0.7353117647058823,0.5454545454545454,15000,600.0,9,0.0001,0.005260493827160491,39.55555555555556,276,206.9304897314376,600.0,0.009649777923089763,0.0,0.0,0.0,0.0
26,100,DQN,0.7247235294117647,0.5515151515151515,15600,600.0,9,0.0001,0.004578395061728397,34.77777777777778,266,195.52768166089965,600.0,0.00976372424280271,0.0,0.0,0.0,0.0
27,100,DQN,0.7141352941176471,0.5575757575757576,16200,600.0,9,0.0001,0.0030163580246913607,39.77777777777778,266,197.2256,600.0,0.009910324207351854,0.0,0.0,0.0,0.0
28,100,DQN,0.7035470588235294,0.5636363636363636,16800,600.0,9,0.0001,0.0022231481481481464,37.44444444444444,271,204.58552631578948,600.0,0.00977060201500232,0.0,0.0,0.0,0.0
29,100,DQN,0.6929588235294117,0.5696969696969697,17400,600.0,9,0.0001,0.0029138888888888908,35.77777777777778,271,196.5177065767285,600.0,0.010062806970284631,0.0,0.0,0.0,0.0
30,100,DQN,0.6823705882352942,0.5757575757575758,18000,600.0,9,0.0001,0.002981481481481479,37.111111111111114,255,199.14965986394557,600.0,0.010080468916955094,0.0,0.0,0.0,0.0
31,100,DQN,0.6717823529411765,0.5818181818181818,18600,600.0,9,0.0001,0.003163580246913582,34.77777777777778,257,199.1458699472759,600.0,0.009944484573788942,0.0,0.0,0.0,0.0
32,100,DQN,0.6611941176470588,0.5878787878787879,19200,600.0,9,0.0001,0.0028003086419753093,38.888888888888886,269,189.9790322580645,600.0,0.010026660728423545,0.0,0.0,0.0,0.0
33,100,DQN,0.6506058823529411,0.593939393939394,19800,600.0,9,0.0001,0.0036929012345679,37.0,280,204.88187702265373,600.0,0.010200679625850171,0.0,0.0,0.0,0.0
34,100,DQN,0.6400176470588235,0.6,20400,600.0,9,0.0001,0.005022530864197524,38.333333333333336,248,206.76936026936028,600.0,0.01024207009235397,0.0,0.0,0.0,0.0
35,100,DQN,0.6294294117647059,0.6060606060606061,21000,600.0,9,0.0001,0.004702777777777777,38.55555555555556,274,193.0385852090032,600.0,0.01004816666788732,0.0,0.0,0.0,0.0
36,100,DQN,0.6188411764705882,0.6121212121212122,21600,600.0,9,0.0001,0.001984567901234568,34.111111111111114,271,188.37693631669535,600.0,0.010147566947465141,0.0,0.0,0.0,0.0
37,100,DQN,0.6082529411764706,0.6181818181818182,22200,600.0,9,0.0001,0.003078703703703704,37.0,268,197.22166666666666,600.0,0.010082814544439316,0.0,0.0,0.0,0.0
38,100,DQN,0.597664705882353,0.6242424242424243,22800,600.0,9,0.0001,0.001671913580246912,35.22222222222222,282,194.13432835820896,600.0,0.010073816596996039,0.0,0.0,0.0,0.0
39,100,DQN,0.5870764705882353,0.6303030303030304,23400,600.0,9,0.0001,0.005896296296296296,34.55555555555556,271,190.57264957264957,600.0,0.010142153577568631,0.0,0.0,0.0,0.0
40,100,DQN,0.5764882352941176,0.6363636363636364,24000,600.0,9,0.0001,0.002625308641975308,36.666666666666664,248,202.1097770154374,600.0,0.010086943184336027,0.0,0.0,0.0,0.0
41,100,DQN,0.5659000000000001,0.6424242424242425,24600,600.0,9,0.0001,0.0047256172839506136,38.77777777777778,269,198.0663430420712,600.0,0.010068161243883272,0.0,0.0,0.0,0.0
42,100,DQN,0.5553117647058823,0.6484848484848484,25200,600.0,9,0.0001,0.0037990740740740715,41.333333333333336,267,210.35202492211837,600.0,0.010199847128242255,0.0,0.0,0.0,0.0
43,100,DQN,0.5447235294117647,0.6545454545454545,25800,600.0,9,0.0001,0.00017098765432098744,35.333333333333336,269,188.65529010238907,600.0,0.010355135859766355,0.0,0.0,0.0,0.0
44,100,DQN,0.5341352941176469,0.6606060606060606,26400,600.0,9,0.0001,0.002753086419753083,35.111111111111114,271,185.77758913412563,600.0,0.01044414770246173,0.0,0.0,0.0,0.0
45,100,DQN,0.5235470588235294,0.6666666666666667,27000,600.0,9,0.0001,0.0008154320987654315,38.55555555555556,263,197.80327868852459,600.0,0.010367215343285352,0.0,0.0,0.0,0.0
46,100,DQN,0.5129588235294118,0.6727272727272727,27600,600.0,9,0.0001,0.002267901234567903,37.888888888888886,268,210.32084690553745,600.0,0.010424769406672568,0.0,0.0,0.0,0.0
47,100,DQN,0.502370588235294,0.6787878787878787,28200,600.0,9,0.0001,0.000924074074074074,36.0,239,206.9718804920914,600.0,0.010278297735688587,0.0,0.0,0.0,0.0
48,100,DQN,0.49178235294117645,0.6848484848484848,28800,600.0,9,0.0001,0.0026049382716049384,36.0,274,197.08877721943048,600.0,0.01035820053347076,0.0,0.0,0.0,0.0
49,100,DQN,0.4811941176470589,0.6909090909090909,29400,600.0,9,0.0001,0.004699999999999999,33.888888888888886,252,196.66785714285714,600.0,0.01038602729095146,0.0,0.0,0.0,0.0
50,100,DQN,0.4706058823529411,0.696969696969697,30000,600.0,9,0.0001,0.0029027777777777776,36.44444444444444,249,204.33680555555554,600.0,0.01032434804054598,0.0,0.0,0.0,0.0
51,100,DQN,0.46001764705882353,0.7030303030303031,30600,600.0,9,0.0001,0.0024577160493827166,39.0,274,203.69488817891374,600.0,0.010469428955887755,0.0,0.0,0.0,0.0
52,100,DQN,0.44942941176470586,0.7090909090909091,31200,600.0,9,0.0001,0.006249074074074074,34.22222222222222,282,196.7140439932318,600.0,0.010354624441824854,0.0,0.0,0.0,0.0
53,100,DQN,0.4388411764705882,0.7151515151515152,31800,600.0,9,0.0001,0.002463271604938275,36.44444444444444,286,181.78373983739837,600.0,0.01030590278406938,0.0,0.0,0.0,0.0
54,100,DQN,0.4282529411764706,0.7212121212121212,32400,600.0,9,0.0001,0.001602469135802469,35.333333333333336,251,196.16112084063047,600.0,0.010439534205167245,0.0,0.0,0.0,0.0
55,100,DQN,0.41766470588235294,0.7272727272727273,33000,600.0,9,0.0001,0.0036814814814814783,38.111111111111114,281,189.33493589743588,600.0,0.010632960067596287,0.0,0.0,0.0,0.0
56,100,DQN,0.40707647058823526,0.7333333333333334,33600,600.0,9,0.0001,0.002418209876543212,39.22222222222222,250,202.58872305140963,600.0,0.010599625322502106,0.0,0.0,0.0,0.0
57,100,DQN,0.3964882352941177,0.7393939393939394,34200,600.0,9,0.0001,0.0019101851851851851,36.77777777777778,251,201.4241379310345,600.0,0.010613558933449289,0.0,0.0,0.0,0.0
58,100,DQN,0.3859,0.7454545454545455,34800,600.0,9,0.0001,0.0019361111111111087,36.44444444444444,254,198.55897435897435,600.0,0.010740297433609764,0.0,0.0,0.0,0.0
59,100,DQN,0.37531176470588234,0.7515151515151515,35400,600.0,9,0.0001,0.0015731481481481486,38.77777777777778,248,201.71524288107202,600.0,0.010704147501382977,0.0,0.0,0.0,0.0
