episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,100,DQN,0.9894294117647059,0.4,600,489.0,9,0.0001,0.001954320987654321,35.333333333333336,270,203.3452380952381,489.0,0.04526434731545929,0.0,0.0,0.0,0.0
2,100,DQN,0.9788411764705882,0.40606060606060607,1200,600.0,9,0.0001,0.0031117283950617292,35.888888888888886,275,203.48585690515807,600.0,0.019452327254693955,0.0,0.0,0.0,0.0
3,100,DQN,0.9682529411764705,0.41212121212121217,1800,600.0,9,0.0001,0.004090740740740744,42.44444444444444,312,191.9221902017291,600.0,0.02624775131116621,0.0,0.0,0.0,0.0
4,100,DQN,0.957664705882353,0.4181818181818182,2400,600.0,9,0.0001,0.003015740740740742,38.0,274,199.07792207792207,600.0,0.029306520346629745,0.0,0.0,0.0,0.0
5,100,DQN,0.9470764705882353,0.42424242424242425,3000,600.0,9,0.0001,0.0030799382716049407,35.22222222222222,271,192.1590524534687,600.0,0.029534925388094657,0.0,0.0,0.0,0.0
6,100,DQN,0.9364882352941176,0.4303030303030303,3600,600.0,9,0.0001,0.003603703703703703,32.888888888888886,271,193.11713286713288,600.0,0.030088491498026997,0.0,0.0,0.0,0.0
7,100,DQN,0.9259,0.4363636363636364,4200,600.0,9,0.0001,-0.0006466049382716054,37.22222222222222,259,197.57504215851603,600.0,0.030733905139689644,0.0,0.0,0.0,0.0
8,100,DQN,0.9153117647058824,0.44242424242424244,4800,600.0,9,0.0001,0.0007388888888888888,38.55555555555556,262,201.01311475409835,600.0,0.031729840016147745,0.0,0.0,0.0,0.0
9,100,DQN,0.9047235294117647,0.4484848484848485,5400,600.0,9,0.0001,0.0033546296296296284,38.44444444444444,278,190.86190476190475,600.0,0.03266736467019655,0.0,0.0,0.0,0.0
10,100,DQN,0.894135294117647,0.4545454545454546,6000,600.0,9,0.0001,0.0017614197530864187,34.888888888888886,256,188.81052631578947,600.0,0.032855581981906044,0.0,0.0,0.0,0.0
11,100,DQN,0.8835470588235295,0.46060606060606063,6600,600.0,9,0.0001,0.0014237654320987654,36.22222222222222,259,198.5273037542662,600.0,0.03335057938665462,0.0,0.0,0.0,0.0
