episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
23,250,GAT-DQN,0.8928625882352941,0.4530120481927711,6900,300.0,9,0.001,0.99,-0.41833271604938294,12.8725,393,47.9236641221374,300.0,0.059136718176305295,0.0,0.0,0.0,0.0
24,250,GAT-DQN,0.8882037647058824,0.45542168674698796,7200,300.0,9,0.001,0.99,-0.3187296296296299,9.837129629629631,516,59.50581395348837,300.0,0.0660752846673131,0.0,0.0,0.0,0.0
25,250,GAT-DQN,0.8835449411764706,0.45783132530120485,7500,300.0,9,0.001,0.99,-0.29445246913580236,9.089351851851852,426,49.208920187793424,300.0,0.061334477930019296,0.0,0.0,0.0,0.0
26,250,GAT-DQN,0.8788861176470588,0.4602409638554217,7800,300.0,9,0.001,0.99,-0.42480925925925916,13.028796296296296,436,48.68807339449541,300.0,0.07261748156199853,0.0,0.0,0.0,0.0
27,250,GAT-DQN,0.874227294117647,0.46265060240963857,8100,300.0,9,0.001,0.99,-0.38479259259259263,11.852314814814818,445,60.31460674157304,300.0,0.07566192717291415,0.0,0.0,0.0,0.0
28,250,GAT-DQN,0.8695684705882353,0.46506024096385545,8400,300.0,9,0.001,0.99,-0.3852845679012345,11.83925925925926,378,48.9973544973545,300.0,0.07335628912163278,0.0,0.0,0.0,0.0
29,250,GAT-DQN,0.8649096470588236,0.4674698795180723,8700,300.0,9,0.001,0.99,-0.3348086419753086,10.387407407407405,426,52.267605633802816,300.0,0.07464860225717226,0.0,0.0,0.0,0.0
30,250,GAT-DQN,0.8602508235294117,0.46987951807228917,9000,300.0,9,0.001,0.99,-0.3331845679012346,10.273333333333333,445,52.52808988764045,300.0,0.08120369085731606,0.0,0.0,0.0,0.0
31,250,GAT-DQN,0.855592,0.47228915662650606,9300,300.0,9,0.001,0.99,-0.31712839506172846,9.761296296296296,525,57.331428571428575,300.0,0.08267574368665616,0.0,0.0,0.0,0.0
32,250,GAT-DQN,0.8509331764705883,0.4746987951807229,9600,300.0,9,0.001,0.99,-0.44425925925925924,13.6625,449,57.30289532293987,300.0,0.08607591496780514,0.0,0.0,0.0,0.0
33,250,GAT-DQN,0.8462743529411765,0.4771084337349398,9900,300.0,9,0.001,0.99,-0.2975160493827159,9.201944444444445,405,54.79259259259259,300.0,0.08575029405144353,0.0,0.0,0.0,0.0
34,250,GAT-DQN,0.8416155294117647,0.47951807228915666,10200,300.0,9,0.001,0.99,-0.3514006172839503,10.900277777777779,461,53.86550976138829,300.0,0.09040177604183555,0.0,0.0,0.0,0.0
35,250,GAT-DQN,0.8369567058823529,0.4819277108433735,10500,300.0,9,0.001,0.99,-0.308898148148148,9.548148148148147,489,55.940695296523515,300.0,0.10062002293765544,0.0,0.0,0.0,0.0
36,250,GAT-DQN,0.8322978823529412,0.4843373493975904,10800,300.0,9,0.001,0.99,-0.281995061728395,8.751574074074075,502,55.93824701195219,300.0,0.09953616800097127,0.0,0.0,0.0,0.0
37,250,GAT-DQN,0.8276390588235294,0.48674698795180726,11100,300.0,9,0.001,0.99,-0.38425123456790106,11.802129629629631,418,49.016746411483254,300.0,0.08959924101829529,0.0,0.0,0.0,0.0
38,250,GAT-DQN,0.8229802352941177,0.4891566265060241,11400,300.0,9,0.001,0.99,-0.38668888888888875,11.985370370370369,506,60.723320158102766,300.0,0.09953623097389937,0.0,0.0,0.0,0.0
39,250,GAT-DQN,0.818321411764706,0.491566265060241,11700,300.0,9,0.001,0.99,-0.32215123456790123,9.965092592592592,464,56.03879310344828,300.0,0.12018080461770296,0.0,0.0,0.0,0.0
40,250,GAT-DQN,0.8136625882352941,0.49397590361445787,12000,300.0,9,0.001,0.99,-0.4100401234567899,12.592222222222222,425,51.27529411764706,300.0,0.10065659477685888,0.0,0.0,0.0,0.0
41,250,GAT-DQN,0.8090037647058823,0.4963855421686747,12300,300.0,9,0.001,0.99,-0.2783827160493827,8.608518518518519,483,56.34989648033126,300.0,0.09824037838106355,0.0,0.0,0.0,0.0
42,250,GAT-DQN,0.8043449411764706,0.4987951807228916,12600,300.0,9,0.001,0.99,-0.3428703703703702,10.581851851851852,494,61.42914979757085,300.0,0.11570622821648915,0.0,0.0,0.0,0.0
43,250,GAT-DQN,0.7996861176470589,0.5012048192771085,12900,300.0,9,0.001,0.99,-0.3511759259259259,10.769166666666667,466,58.53004291845494,300.0,0.10940558983013034,0.0,0.0,0.0,0.0
44,250,GAT-DQN,0.795027294117647,0.5036144578313253,13200,300.0,9,0.001,0.99,-0.36865000000000014,11.338703703703702,457,55.35667396061269,300.0,0.11591488516579072,0.0,0.0,0.0,0.0
45,250,GAT-DQN,0.7903684705882352,0.5060240963855422,13500,300.0,9,0.001,0.99,-0.30304012345679027,9.343425925925924,473,57.940803382663844,300.0,0.1208475683319072,0.0,0.0,0.0,0.0
46,250,GAT-DQN,0.7857096470588235,0.5084337349397591,13800,300.0,9,0.001,0.99,-0.4024080246913582,12.411666666666667,412,49.38592233009709,300.0,0.12416133153562744,0.0,0.0,0.0,0.0
47,250,GAT-DQN,0.7810508235294118,0.5108433734939759,14100,300.0,9,0.001,0.99,-0.30480740740740747,9.420185185185186,399,52.290726817042604,300.0,0.12467346286401153,0.0,0.0,0.0,0.0
48,250,GAT-DQN,0.776392,0.5132530120481927,14400,300.0,9,0.001,0.99,-0.31694259259259266,9.809074074074074,505,55.263366336633666,300.0,0.12407250651468833,0.0,0.0,0.0,0.0
49,250,GAT-DQN,0.7717331764705883,0.5156626506024097,14700,300.0,9,0.001,0.99,-0.37913765432098767,11.677037037037035,393,47.783715012722645,300.0,0.12586792706822356,0.0,0.0,0.0,0.0
50,250,GAT-DQN,0.7670743529411764,0.5180722891566265,15000,300.0,9,0.001,0.99,-0.29795987654321,9.20712962962963,480,56.96041666666667,300.0,0.12973217314109206,0.0,0.0,0.0,0.0
51,250,GAT-DQN,0.7624155294117647,0.5204819277108435,15300,300.0,9,0.001,0.99,-0.31883148148148155,9.826851851851853,479,56.24634655532359,300.0,0.13069660850490133,0.0,0.0,0.0,0.0
52,250,GAT-DQN,0.7577567058823529,0.5228915662650603,15600,300.0,9,0.001,0.99,-0.30195493827160474,9.361574074074074,404,52.648514851485146,300.0,0.14135747123509645,0.0,0.0,0.0,0.0
53,250,GAT-DQN,0.7530978823529412,0.5253012048192771,15900,300.0,9,0.001,0.99,-0.387416049382716,11.98314814814815,446,53.630044843049326,300.0,0.14566408929104607,0.0,0.0,0.0,0.0
54,250,GAT-DQN,0.7484390588235295,0.527710843373494,16200,300.0,9,0.001,0.99,-0.3188938271604938,9.86962962962963,493,54.26369168356998,300.0,0.14469518116985758,0.0,0.0,0.0,0.0
55,250,GAT-DQN,0.7437802352941176,0.5301204819277109,16500,300.0,9,0.001,0.99,-0.3300592592592594,10.146759259259257,455,62.19340659340659,300.0,0.1368089833855629,0.0,0.0,0.0,0.0
56,250,GAT-DQN,0.7391214117647058,0.5325301204819277,16800,300.0,9,0.001,0.99,-0.434604320987654,13.398703703703704,409,48.271393643031786,300.0,0.14827568914120395,0.0,0.0,0.0,0.0
57,250,GAT-DQN,0.7344625882352942,0.5349397590361447,17100,300.0,9,0.001,0.99,-0.28550000000000003,8.83074074074074,505,54.54059405940594,300.0,0.18534741303573052,0.0,0.0,0.0,0.0
58,250,GAT-DQN,0.7298037647058824,0.5373493975903615,17400,300.0,9,0.001,0.99,-0.4384919753086418,13.52212962962963,450,56.70444444444445,300.0,0.15728878407428662,0.0,0.0,0.0,0.0
59,250,GAT-DQN,0.7251449411764705,0.5397590361445783,17700,300.0,9,0.001,0.99,-0.2645864197530865,8.205648148148148,487,52.79260780287474,300.0,0.15226121915504337,0.0,0.0,0.0,0.0
60,250,GAT-DQN,0.7204861176470588,0.5421686746987953,18000,300.0,9,0.001,0.99,-0.3591006172839506,11.095277777777778,471,57.246284501061574,300.0,0.15258948603024086,0.0,0.0,0.0,0.0
