episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,100,DQN,0.9894294117647059,0.4,600,489.0,9,0.0001,0.004647222222222228,35.55555555555556,269,195.47619047619048,489.0,0.035152502447473366,0.0,0.0,0.0,0.0
2,100,DQN,0.9788411764705882,0.40606060606060607,1200,600.0,9,0.0001,0.00423611111111111,38.111111111111114,255,207.14691151919865,600.0,0.021355683701112866,0.0,0.0,0.0,0.0
3,100,DQN,0.9682529411764705,0.41212121212121217,1800,600.0,9,0.0001,0.0027817901234567853,39.22222222222222,293,194.78825347758888,600.0,0.02551369468603904,0.0,0.0,0.0,0.0
4,100,DQN,0.957664705882353,0.4181818181818182,2400,600.0,9,0.0001,0.0007432098765432102,34.77777777777778,262,190.06574394463667,600.0,0.0298956516586865,0.0,0.0,0.0,0.0
5,100,DQN,0.9470764705882353,0.42424242424242425,3000,600.0,9,0.0001,0.0010608024691358025,37.888888888888886,278,196.18064516129033,600.0,0.030279151337842147,0.0,0.0,0.0,0.0
6,100,DQN,0.9364882352941176,0.4303030303030303,3600,600.0,9,0.0001,0.0021120370370370386,37.111111111111114,281,195.60645161290321,600.0,0.03264802672046547,0.0,0.0,0.0,0.0
7,100,DQN,0.9259,0.4363636363636364,4200,600.0,9,0.0001,-0.0004216049382716038,37.55555555555556,271,201.935960591133,600.0,0.03296990824242433,0.0,0.0,0.0,0.0
8,100,DQN,0.9153117647058824,0.44242424242424244,4800,600.0,9,0.0001,0.003922222222222222,37.333333333333336,272,195.35024549918168,600.0,0.03514256685196111,0.0,0.0,0.0,0.0
9,100,DQN,0.9047235294117647,0.4484848484848485,5400,600.0,9,0.0001,0.0017188271604938277,38.44444444444444,268,197.4707792207792,600.0,0.03400022456112007,0.0,0.0,0.0,0.0
10,100,DQN,0.894135294117647,0.4545454545454546,6000,600.0,9,0.0001,0.002077777777777778,38.0,265,203.73519736842104,600.0,0.03354883205921699,0.0,0.0,0.0,0.0
11,100,DQN,0.8835470588235295,0.46060606060606063,6600,600.0,9,0.0001,-0.0008172839506172825,36.77777777777778,253,195.26027397260273,600.0,0.035055971529800445,0.0,0.0,0.0,0.0
12,100,DQN,0.8729588235294118,0.4666666666666667,7200,600.0,9,0.0001,0.0011966049382716047,39.666666666666664,248,210.94909688013135,600.0,0.03514676447259262,0.0,0.0,0.0,0.0
13,100,DQN,0.8623705882352941,0.4727272727272728,7800,600.0,9,0.0001,0.00429104938271605,37.22222222222222,290,193.1640127388535,600.0,0.03478349540149793,0.0,0.0,0.0,0.0
14,100,DQN,0.8517823529411764,0.4787878787878788,8400,600.0,9,0.0001,0.00216574074074074,36.0,256,200.2318339100346,600.0,0.034949385289413236,0.0,0.0,0.0,0.0
15,100,DQN,0.8411941176470588,0.48484848484848486,9000,600.0,9,0.0001,0.004699999999999999,39.55555555555556,272,194.05741626794259,600.0,0.036029645157201834,0.0,0.0,0.0,0.0
16,100,DQN,0.8306058823529412,0.49090909090909096,9600,600.0,9,0.0001,0.0006487654320987649,33.333333333333336,263,194.84628975265016,600.0,0.0355570687353611,0.0,0.0,0.0,0.0
17,100,DQN,0.8200176470588235,0.496969696969697,10200,600.0,9,0.0001,0.005495987654320993,36.111111111111114,313,185.328125,600.0,0.037536208688591914,0.0,0.0,0.0,0.0
18,100,DQN,0.8094294117647058,0.503030303030303,10800,600.0,9,0.0001,-8.117283950617451e-05,40.666666666666664,262,209.3147853736089,600.0,0.035094583993001534,0.0,0.0,0.0,0.0
19,100,DQN,0.7988411764705883,0.5090909090909091,11400,600.0,9,0.0001,0.003383024691358023,34.77777777777778,263,198.09810671256454,600.0,0.03674024646170437,0.0,0.0,0.0,0.0
20,100,DQN,0.7882529411764706,0.5151515151515151,12000,600.0,9,0.0001,0.0012027777777777779,35.0,267,187.28987993138938,600.0,0.03774036274446795,0.0,0.0,0.0,0.0
21,100,DQN,0.7776647058823529,0.5212121212121212,12600,600.0,9,0.0001,0.003444444444444441,38.77777777777778,271,191.37479806138933,600.0,0.0380757427153488,0.0,0.0,0.0,0.0
22,100,DQN,0.7670764705882352,0.5272727272727273,13200,600.0,9,0.0001,0.003744135802469137,36.55555555555556,274,196.13201320132012,600.0,0.037069671807500225,0.0,0.0,0.0,0.0
23,100,DQN,0.7564882352941177,0.5333333333333333,13800,600.0,9,0.0001,0.002249382716049382,36.111111111111114,275,198.81969949916527,600.0,0.03703993624309078,0.0,0.0,0.0,0.0
24,100,DQN,0.7459,0.5393939393939394,14400,600.0,9,0.0001,0.003945370370370372,36.44444444444444,275,195.56882255389718,600.0,0.0362335746215346,0.0,0.0,0.0,0.0
25,100,DQN,0.7353117647058823,0.5454545454545454,15000,600.0,9,0.0001,0.002994753086419755,40.77777777777778,293,214.84441087613294,600.0,0.03758899960744505,0.0,0.0,0.0,0.0
26,100,DQN,0.7247235294117647,0.5515151515151515,15600,600.0,9,0.0001,0.005514197530864197,34.333333333333336,269,199.19377162629758,600.0,0.03703852693395068,0.0,0.0,0.0,0.0
27,100,DQN,0.7141352941176471,0.5575757575757576,16200,600.0,9,0.0001,0.005573456790123459,36.0,279,201.1603305785124,600.0,0.03727558597922325,0.0,0.0,0.0,0.0
28,100,DQN,0.7035470588235294,0.5636363636363636,16800,600.0,9,0.0001,0.002345061728395062,38.22222222222222,253,211.891846921797,600.0,0.03704789412285512,0.0,0.0,0.0,0.0
29,100,DQN,0.6929588235294117,0.5696969696969697,17400,600.0,9,0.0001,0.002887037037037035,38.55555555555556,269,194.52025931928688,600.0,0.03637007981305942,0.0,0.0,0.0,0.0
30,100,DQN,0.6823705882352942,0.5757575757575758,18000,600.0,9,0.0001,0.0047524691358024704,40.22222222222222,295,196.8854961832061,600.0,0.03697038691025227,0.0,0.0,0.0,0.0
31,100,DQN,0.6717823529411765,0.5818181818181818,18600,600.0,9,0.0001,0.002735802469135802,38.0,247,206.64586846543003,600.0,0.037588030314072964,0.0,0.0,0.0,0.0
32,100,DQN,0.6611941176470588,0.5878787878787879,19200,600.0,9,0.0001,0.004662037037037036,37.55555555555556,265,214.8978583196046,600.0,0.03749099091161043,0.0,0.0,0.0,0.0
33,100,DQN,0.6506058823529411,0.593939393939394,19800,600.0,9,0.0001,0.0014574074074074081,40.22222222222222,286,185.80525502318392,600.0,0.03693201237358153,0.0,0.0,0.0,0.0
34,100,DQN,0.6400176470588235,0.6,20400,600.0,9,0.0001,0.001641666666666667,35.888888888888886,253,196.42434782608694,600.0,0.038078623234760016,0.0,0.0,0.0,0.0
35,100,DQN,0.6294294117647059,0.6060606060606061,21000,600.0,9,0.0001,-5.4320987654321156e-05,34.111111111111114,237,200.13863216266174,600.0,0.03710355920329069,0.0,0.0,0.0,0.0
36,100,DQN,0.6188411764705882,0.6121212121212122,21600,600.0,9,0.0001,0.0031120370370370356,38.888888888888886,282,198.32701421800948,600.0,0.03777729865241175,0.0,0.0,0.0,0.0
37,100,DQN,0.6082529411764706,0.6181818181818182,22200,600.0,9,0.0001,0.0020851851851851864,31.77777777777778,231,204.28709055876686,600.0,0.03692092519408713,0.0,0.0,0.0,0.0
38,100,DQN,0.597664705882353,0.6242424242424243,22800,600.0,9,0.0001,0.0037978395061728405,37.44444444444444,262,215.97,600.0,0.03679269475163892,0.0,0.0,0.0,0.0
39,100,DQN,0.5870764705882353,0.6303030303030304,23400,600.0,9,0.0001,0.003537345679012341,39.888888888888886,288,206.26502311248075,600.0,0.03675205217131103,0.0,0.0,0.0,0.0
40,100,DQN,0.5764882352941176,0.6363636363636364,24000,600.0,9,0.0001,0.002590123456790124,35.666666666666664,277,187.94,600.0,0.03795736413449049,0.0,0.0,0.0,0.0
41,100,DQN,0.5659000000000001,0.6424242424242425,24600,600.0,9,0.0001,0.004246913580246916,37.888888888888886,272,194.06991869918699,600.0,0.03631765940537055,0.0,0.0,0.0,0.0
42,100,DQN,0.5553117647058823,0.6484848484848484,25200,600.0,9,0.0001,0.00014876543209876581,34.888888888888886,251,200.5132743362832,600.0,0.036804004084163656,0.0,0.0,0.0,0.0
43,100,DQN,0.5447235294117647,0.6545454545454545,25800,600.0,9,0.0001,0.004400308641975307,38.333333333333336,315,185.10090361445782,600.0,0.03677948634450634,0.0,0.0,0.0,0.0
44,100,DQN,0.5341352941176469,0.6606060606060606,26400,600.0,9,0.0001,0.0029151234567901235,35.666666666666664,243,199.9206349206349,600.0,0.03782488682695354,0.0,0.0,0.0,0.0
45,100,DQN,0.5235470588235294,0.6666666666666667,27000,600.0,9,0.0001,0.0018462962962962973,35.333333333333336,285,200.50576606260296,600.0,0.038155015835848946,0.0,0.0,0.0,0.0
