episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,DQN,0.9953567058823529,0.4,300,189.0,9,0.001,0.99,-0.27097654320987646,8.379814814814814,468,52.35897435897436,189.0,0.009836005175082142,0.0,0.0,0.0,0.0
2,250,DQN,0.9906978823529412,0.4024096385542169,600,300.0,9,0.001,0.99,-0.41221604938271594,12.65185185185185,461,57.453362255965295,300.0,0.010903406296856702,0.0,0.0,0.0,0.0
3,250,DQN,0.9860390588235294,0.40481927710843374,900,300.0,9,0.001,0.99,-0.399922222222222,12.350462962962963,463,57.442764578833696,300.0,0.019118319995080433,0.0,0.0,0.0,0.0
4,250,DQN,0.9813802352941177,0.4072289156626506,1200,300.0,9,0.001,0.99,-0.3945456790123456,12.083055555555557,435,57.9264367816092,300.0,0.02077336366598805,0.0,0.0,0.0,0.0
5,250,DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.42722839506172866,13.15962962962963,390,50.97692307692308,300.0,0.026432405021041633,0.0,0.0,0.0,0.0
6,250,DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.3352993827160493,10.37861111111111,494,54.840080971659916,300.0,0.03236716019300123,0.0,0.0,0.0,0.0
7,250,DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.39502469135802487,12.176388888888889,428,52.18457943925234,300.0,0.036656263234714666,0.0,0.0,0.0,0.0
8,250,DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.3561006172839507,11.040833333333333,462,52.83982683982684,300.0,0.047769337457915145,0.0,0.0,0.0,0.0
9,250,DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.34399259259259257,10.695185185185185,493,55.72008113590264,300.0,0.05259200107306242,0.0,0.0,0.0,0.0
10,250,DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.29374567901234566,9.118796296296296,473,54.54968287526427,300.0,0.059475772523631655,0.0,0.0,0.0,0.0
11,250,DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.3133481481481483,9.740740740740742,457,50.74835886214442,300.0,0.06694319332639376,0.0,0.0,0.0,0.0
12,250,DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.31630617283950624,9.780277777777778,435,50.10574712643678,300.0,0.07597533208628496,0.0,0.0,0.0,0.0
13,250,DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.3005555555555554,9.317314814814816,450,55.24666666666667,300.0,0.07712404305736224,0.0,0.0,0.0,0.0
14,250,DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.3080537037037037,9.484629629629628,506,57.82806324110672,300.0,0.08459124344090621,0.0,0.0,0.0,0.0
15,250,DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.3878148148148148,11.952314814814814,467,57.08565310492505,300.0,0.09499919644246499,0.0,0.0,0.0,0.0
16,250,DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.43797222222222215,13.435648148148148,398,48.3643216080402,300.0,0.10414594878753027,0.0,0.0,0.0,0.0
17,250,DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.3477950617283952,10.793055555555554,480,61.010416666666664,300.0,0.10947018971045812,0.0,0.0,0.0,0.0
18,250,DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.28296172839506184,8.783425925925926,471,53.7728237791932,300.0,0.12470777787268161,0.0,0.0,0.0,0.0
19,250,DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.4185709876543211,12.867685185185186,397,49.4911838790932,300.0,0.13593664586544038,0.0,0.0,0.0,0.0
20,250,DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.38949506172839493,11.929907407407407,473,63.374207188160675,300.0,0.14472758054733276,0.0,0.0,0.0,0.0
21,250,DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.2903537037037036,8.92009259259259,492,57.49593495934959,300.0,0.15284742963810763,0.0,0.0,0.0,0.0
22,250,DQN,0.8975214117647059,0.45060240963855425,6600,300.0,9,0.001,0.99,-0.3241802469135804,10.010092592592592,426,50.28169014084507,300.0,0.17010413760940235,0.0,0.0,0.0,0.0
23,250,DQN,0.8928625882352941,0.4530120481927711,6900,300.0,9,0.001,0.99,-0.3445302469135803,10.615462962962964,386,51.03367875647668,300.0,0.1857882239917914,0.0,0.0,0.0,0.0
24,250,DQN,0.8882037647058824,0.45542168674698796,7200,300.0,9,0.001,0.99,-0.32221296296296287,9.962777777777777,450,55.70666666666666,300.0,0.20516522395114103,0.0,0.0,0.0,0.0
25,250,DQN,0.8835449411764706,0.45783132530120485,7500,300.0,9,0.001,0.99,-0.34667530864197527,10.70351851851852,438,52.74885844748859,300.0,0.21595545341571173,0.0,0.0,0.0,0.0
26,250,DQN,0.8788861176470588,0.4602409638554217,7800,300.0,9,0.001,0.99,-0.35968333333333347,11.038611111111111,487,58.841889117043124,300.0,0.22920577506224316,0.0,0.0,0.0,0.0
27,250,DQN,0.874227294117647,0.46265060240963857,8100,300.0,9,0.001,0.99,-0.4213444444444444,13.089351851851852,424,54.738207547169814,300.0,0.24643470108509063,0.0,0.0,0.0,0.0
28,250,DQN,0.8695684705882353,0.46506024096385545,8400,300.0,9,0.001,0.99,-0.3352617283950618,10.357314814814815,480,57.15208333333333,300.0,0.26437940647204716,0.0,0.0,0.0,0.0
29,250,DQN,0.8649096470588236,0.4674698795180723,8700,300.0,9,0.001,0.99,-0.35555740740740743,11.035555555555556,488,59.278688524590166,300.0,0.28255093256632485,0.0,0.0,0.0,0.0
30,250,DQN,0.8602508235294117,0.46987951807228917,9000,300.0,9,0.001,0.99,-0.43183765432098764,13.25527777777778,389,49.11825192802056,300.0,0.3044530076781909,0.0,0.0,0.0,0.0
31,250,DQN,0.855592,0.47228915662650606,9300,300.0,9,0.001,0.99,-0.3511351851851851,10.832777777777777,486,58.33127572016461,300.0,0.32507502590616544,0.0,0.0,0.0,0.0
32,250,DQN,0.8509331764705883,0.4746987951807229,9600,300.0,9,0.001,0.99,-0.3073234567901235,9.480740740740742,475,57.770526315789475,300.0,0.34786540900667506,0.0,0.0,0.0,0.0
33,250,DQN,0.8462743529411765,0.4771084337349398,9900,300.0,9,0.001,0.99,-0.3066586419753087,9.495740740740741,438,55.26712328767123,300.0,0.36123471160729725,0.0,0.0,0.0,0.0
34,250,DQN,0.8416155294117647,0.47951807228915666,10200,300.0,9,0.001,0.99,-0.34202160493827183,10.605277777777777,500,57.012,300.0,0.3884512739876906,0.0,0.0,0.0,0.0
35,250,DQN,0.8369567058823529,0.4819277108433735,10500,300.0,9,0.001,0.99,-0.3381604938271604,10.398333333333333,430,49.83720930232558,300.0,0.40086046626170474,0.0,0.0,0.0,0.0
36,250,DQN,0.8322978823529412,0.4843373493975904,10800,300.0,9,0.001,0.99,-0.32523765432098745,9.9825,470,62.51489361702128,300.0,0.4212931188941002,0.0,0.0,0.0,0.0
37,250,DQN,0.8276390588235294,0.48674698795180726,11100,300.0,9,0.001,0.99,-0.338717901234568,10.497222222222222,444,57.240990990990994,300.0,0.44398295839627583,0.0,0.0,0.0,0.0
38,250,DQN,0.8229802352941177,0.4891566265060241,11400,300.0,9,0.001,0.99,-0.3310450617283951,10.248333333333333,448,58.823660714285715,300.0,0.45832508186499277,0.0,0.0,0.0,0.0
39,250,DQN,0.818321411764706,0.491566265060241,11700,300.0,9,0.001,0.99,-0.3580746913580247,11.02138888888889,407,50.567567567567565,300.0,0.4795793284972509,0.0,0.0,0.0,0.0
40,250,DQN,0.8136625882352941,0.49397590361445787,12000,300.0,9,0.001,0.99,-0.3352882716049385,10.3925,469,52.45202558635395,300.0,0.5014812916517257,0.0,0.0,0.0,0.0
41,250,DQN,0.8090037647058823,0.4963855421686747,12300,300.0,9,0.001,0.99,-0.35886790123456797,11.06287037037037,452,60.267699115044245,300.0,0.5290620060761769,0.0,0.0,0.0,0.0
42,250,DQN,0.8043449411764706,0.4987951807228916,12600,300.0,9,0.001,0.99,-0.389911111111111,12.015833333333333,475,60.07157894736842,300.0,0.543044063448906,0.0,0.0,0.0,0.0
43,250,DQN,0.7996861176470589,0.5012048192771085,12900,300.0,9,0.001,0.99,-0.3584290123456789,11.02740740740741,418,51.5311004784689,300.0,0.5547199255228042,0.0,0.0,0.0,0.0
44,250,DQN,0.795027294117647,0.5036144578313253,13200,300.0,9,0.001,0.99,-0.37136111111111103,11.430648148148148,467,57.100642398286936,300.0,0.5684762531518937,0.0,0.0,0.0,0.0
45,250,DQN,0.7903684705882352,0.5060240963855422,13500,300.0,9,0.001,0.99,-0.33507592592592594,10.391481481481481,443,55.38148984198646,300.0,0.5933317949374517,0.0,0.0,0.0,0.0
46,250,DQN,0.7857096470588235,0.5084337349397591,13800,300.0,9,0.001,0.99,-0.31181543209876544,9.61861111111111,494,53.7085020242915,300.0,0.6095751840869585,0.0,0.0,0.0,0.0
47,250,DQN,0.7810508235294118,0.5108433734939759,14100,300.0,9,0.001,0.99,-0.357577160493827,11.08972222222222,479,55.49060542797495,300.0,0.6240831218163172,0.0,0.0,0.0,0.0
48,250,DQN,0.776392,0.5132530120481927,14400,300.0,9,0.001,0.99,-0.3662759259259259,11.337962962962964,478,59.68828451882845,300.0,0.6506504551569621,0.0,0.0,0.0,0.0
49,250,DQN,0.7717331764705883,0.5156626506024097,14700,300.0,9,0.001,0.99,-0.40172283950617277,12.341666666666667,456,52.82236842105263,300.0,0.6691045339902242,0.0,0.0,0.0,0.0
50,250,DQN,0.7670743529411764,0.5180722891566265,15000,300.0,9,0.001,0.99,-0.3691086419753089,11.39074074074074,447,55.93288590604027,300.0,0.6888685472806295,0.0,0.0,0.0,0.0
51,250,DQN,0.7624155294117647,0.5204819277108435,15300,300.0,9,0.001,0.99,-0.3409080246913578,10.526111111111112,411,51.49148418491484,300.0,0.7199644820888838,0.0,0.0,0.0,0.0
52,250,DQN,0.7577567058823529,0.5228915662650603,15600,300.0,9,0.001,0.99,-0.25717160493827185,7.969166666666666,467,49.68950749464668,300.0,0.7332195727030436,0.0,0.0,0.0,0.0
53,250,DQN,0.7530978823529412,0.5253012048192771,15900,300.0,9,0.001,0.99,-0.3260592592592593,10.048055555555553,478,57.97907949790795,300.0,0.7697870349884033,0.0,0.0,0.0,0.0
54,250,DQN,0.7484390588235295,0.527710843373494,16200,300.0,9,0.001,0.99,-0.32641419753086426,10.127222222222223,417,50.28537170263789,300.0,0.803201755285263,0.0,0.0,0.0,0.0
55,250,DQN,0.7437802352941176,0.5301204819277109,16500,300.0,9,0.001,0.99,-0.39110432098765446,12.050462962962962,475,61.677894736842106,300.0,0.84446253379186,0.0,0.0,0.0,0.0
56,250,DQN,0.7391214117647058,0.5325301204819277,16800,300.0,9,0.001,0.99,-0.372229012345679,11.425740740740743,434,59.07142857142857,300.0,0.8741026385625204,0.0,0.0,0.0,0.0
57,250,DQN,0.7344625882352942,0.5349397590361447,17100,300.0,9,0.001,0.99,-0.3589358024691359,11.017685185185185,451,53.61862527716186,300.0,0.9063570829232533,0.0,0.0,0.0,0.0
58,250,DQN,0.7298037647058824,0.5373493975903615,17400,300.0,9,0.001,0.99,-0.2728216049382716,8.422037037037038,491,54.462321792260695,300.0,0.9455645084381104,0.0,0.0,0.0,0.0
59,250,DQN,0.7251449411764705,0.5397590361445783,17700,300.0,9,0.001,0.99,-0.38562407407407395,11.87861111111111,407,51.746928746928745,300.0,1.0048331838846207,0.0,0.0,0.0,0.0
60,250,DQN,0.7204861176470588,0.5421686746987953,18000,300.0,9,0.001,0.99,-0.39681728395061716,12.242037037037035,420,50.19285714285714,300.0,1.0470901097853977,0.0,0.0,0.0,0.0
61,250,DQN,0.7158272941176471,0.5445783132530121,18300,300.0,9,0.001,0.99,-0.38626543209876535,11.959074074074072,409,51.469437652811735,300.0,1.092578608194987,0.0,0.0,0.0,0.0
62,250,DQN,0.7111684705882353,0.5469879518072289,18600,300.0,9,0.001,0.99,-0.26627345679012343,8.270185185185186,480,54.454166666666666,300.0,1.1304908889532088,0.0,0.0,0.0,0.0
63,250,DQN,0.7065096470588235,0.5493975903614458,18900,300.0,9,0.001,0.99,-0.3579265432098765,11.047407407407409,488,61.420081967213115,300.0,1.1763612820704779,0.0,0.0,0.0,0.0
64,250,DQN,0.7018508235294117,0.5518072289156627,19200,300.0,9,0.001,0.99,-0.31127098765432093,9.6375,501,58.20758483033932,300.0,1.2116615064938863,0.0,0.0,0.0,0.0
65,250,DQN,0.697192,0.5542168674698795,19500,300.0,9,0.001,0.99,-0.3391203703703701,10.448796296296297,486,61.60288065843621,300.0,1.2513795882463454,0.0,0.0,0.0,0.0
66,250,DQN,0.6925331764705882,0.5566265060240965,19800,300.0,9,0.001,0.99,-0.3345290123456788,10.347222222222223,510,59.029411764705884,300.0,1.299516725341479,0.0,0.0,0.0,0.0
67,250,DQN,0.6878743529411765,0.5590361445783133,20100,300.0,9,0.001,0.99,-0.3383191358024693,10.477314814814815,481,56.03326403326403,300.0,1.3040910524129867,0.0,0.0,0.0,0.0
68,250,DQN,0.6832155294117648,0.5614457831325301,20400,300.0,9,0.001,0.99,-0.31371234567901224,9.689629629629628,474,56.70042194092827,300.0,1.3500867128372191,0.0,0.0,0.0,0.0
69,250,DQN,0.678556705882353,0.5638554216867471,20700,300.0,9,0.001,0.99,-0.3527055555555554,10.936944444444444,530,61.44150943396227,300.0,1.3593038046360015,0.0,0.0,0.0,0.0
70,250,DQN,0.6738978823529411,0.5662650602409639,21000,300.0,9,0.001,0.99,-0.3701839506172837,11.41101851851852,492,61.459349593495936,300.0,1.4054370248317718,0.0,0.0,0.0,0.0
71,250,DQN,0.6692390588235295,0.5686746987951807,21300,300.0,9,0.001,0.99,-0.32890246913580257,10.1525,479,55.200417536534445,300.0,1.4283786312739055,0.0,0.0,0.0,0.0
72,250,DQN,0.6645802352941177,0.5710843373493976,21600,300.0,9,0.001,0.99,-0.2961870370370369,9.132870370370371,408,49.877450980392155,300.0,1.4735947668552398,0.0,0.0,0.0,0.0
73,250,DQN,0.6599214117647059,0.5734939759036145,21900,300.0,9,0.001,0.99,-0.3258234567901233,10.095555555555555,538,54.12453531598513,300.0,1.4946368328730266,0.0,0.0,0.0,0.0
74,250,DQN,0.655262588235294,0.5759036144578313,22200,300.0,9,0.001,0.99,-0.40948024691358,12.616574074074073,435,54.61149425287356,300.0,1.5429711278279623,0.0,0.0,0.0,0.0
75,250,DQN,0.6506037647058823,0.5783132530120482,22500,300.0,9,0.001,0.99,-0.36308518518518534,11.237222222222224,413,52.43341404358353,300.0,1.5499106907844544,0.0,0.0,0.0,0.0
76,250,DQN,0.6459449411764706,0.5807228915662651,22800,300.0,9,0.001,0.99,-0.3319203703703701,10.23101851851852,505,55.91683168316832,300.0,1.5850319103399912,0.0,0.0,0.0,0.0
77,250,DQN,0.6412861176470588,0.5831325301204819,23100,300.0,9,0.001,0.99,-0.3996635802469136,12.321388888888887,418,59.94976076555024,300.0,1.6132078127066294,0.0,0.0,0.0,0.0
78,250,DQN,0.6366272941176471,0.5855421686746989,23400,300.0,9,0.001,0.99,-0.44195061728395085,13.61351851851852,429,52.81351981351981,300.0,1.6524407764275868,0.0,0.0,0.0,0.0
79,250,DQN,0.6319684705882354,0.5879518072289157,23700,300.0,9,0.001,0.99,-0.356840740740741,10.968148148148147,468,63.51923076923077,300.0,1.698906476100286,0.0,0.0,0.0,0.0
80,250,DQN,0.6273096470588235,0.5903614457831325,24000,300.0,9,0.001,0.99,-0.2965265432098764,9.188703703703704,438,49.945205479452056,300.0,1.7274278231461844,0.0,0.0,0.0,0.0
81,250,DQN,0.6226508235294118,0.5927710843373494,24300,300.0,9,0.001,0.99,-0.3517413580246913,10.883425925925925,452,53.36725663716814,300.0,1.740592291355133,0.0,0.0,0.0,0.0
82,250,DQN,0.617992,0.5951807228915663,24600,300.0,9,0.001,0.99,-0.41854938271604936,12.97537037037037,436,52.02064220183486,300.0,1.7522249869505564,0.0,0.0,0.0,0.0
83,250,DQN,0.6133331764705883,0.5975903614457831,24900,300.0,9,0.001,0.99,-0.38609320987654316,11.932962962962963,432,59.2962962962963,300.0,1.8066871694723765,0.0,0.0,0.0,0.0
84,250,DQN,0.6086743529411764,0.6,25200,300.0,9,0.001,0.99,-0.33534197530864207,10.469444444444445,451,50.44124168514412,300.0,1.8038781905174255,0.0,0.0,0.0,0.0
85,250,DQN,0.6040155294117647,0.6024096385542168,25500,300.0,9,0.001,0.99,-0.38410370370370367,11.845648148148149,466,57.83905579399141,300.0,1.8699577629566193,0.0,0.0,0.0,0.0
86,250,DQN,0.599356705882353,0.6048192771084338,25800,300.0,9,0.001,0.99,-0.308911111111111,9.548148148148147,485,56.54845360824742,300.0,1.8814592615763346,0.0,0.0,0.0,0.0
87,250,DQN,0.5946978823529412,0.6072289156626507,26100,300.0,9,0.001,0.99,-0.39334012345679,12.091111111111111,464,60.849137931034484,300.0,1.931702364285787,0.0,0.0,0.0,0.0
88,250,DQN,0.5900390588235294,0.6096385542168675,26400,300.0,9,0.001,0.99,-0.3967456790123456,12.183425925925924,377,49.9973474801061,300.0,1.9282434300581615,0.0,0.0,0.0,0.0
89,250,DQN,0.5853802352941176,0.6120481927710844,26700,300.0,9,0.001,0.99,-0.29906358024691343,9.308796296296295,485,55.18556701030928,300.0,1.9181867130597432,0.0,0.0,0.0,0.0
90,250,DQN,0.5807214117647059,0.6144578313253012,27000,300.0,9,0.001,0.99,-0.27817037037037046,8.645648148148148,476,56.19957983193277,300.0,1.9524035517374674,0.0,0.0,0.0,0.0
91,250,DQN,0.5760625882352941,0.6168674698795181,27300,300.0,9,0.001,0.99,-0.3105913580246914,9.614166666666666,479,56.66597077244259,300.0,1.9673728517691293,0.0,0.0,0.0,0.0
92,250,DQN,0.5714037647058823,0.619277108433735,27600,300.0,9,0.001,0.99,-0.4118327160493829,12.768425925925927,397,51.841309823677584,300.0,1.9682269259293874,0.0,0.0,0.0,0.0
93,250,DQN,0.5667449411764706,0.6216867469879518,27900,300.0,9,0.001,0.99,-0.4321271604938272,13.336944444444445,432,52.425925925925924,300.0,1.9626531386375428,0.0,0.0,0.0,0.0
94,250,DQN,0.5620861176470588,0.6240963855421686,28200,300.0,9,0.001,0.99,-0.43114074074074077,13.327129629629631,466,55.622317596566525,300.0,2.0173672823111217,0.0,0.0,0.0,0.0
95,250,DQN,0.557427294117647,0.6265060240963856,28500,300.0,9,0.001,0.99,-0.3466462962962963,10.739907407407408,470,59.808510638297875,300.0,1.9326333038012187,0.0,0.0,0.0,0.0
96,250,DQN,0.5527684705882353,0.6289156626506025,28800,300.0,9,0.001,0.99,-0.3276253086419751,10.11648148148148,488,54.73770491803279,300.0,1.9546844601631164,0.0,0.0,0.0,0.0
97,250,DQN,0.5481096470588236,0.6313253012048193,29100,300.0,9,0.001,0.99,-0.30413765432098766,9.431296296296297,478,54.23221757322176,300.0,2.0036703701814016,0.0,0.0,0.0,0.0
98,250,DQN,0.5434508235294118,0.6337349397590362,29400,300.0,9,0.001,0.99,-0.398074074074074,12.343148148148147,411,52.982968369829685,300.0,1.9799762054284413,0.0,0.0,0.0,0.0
99,250,DQN,0.5387919999999999,0.636144578313253,29700,300.0,9,0.001,0.99,-0.4030493827160496,12.420833333333333,417,53.07434052757794,300.0,1.9621057943503062,0.0,0.0,0.0,0.0
100,250,DQN,0.5341331764705883,0.6385542168674698,30000,300.0,9,0.001,0.99,-0.41440185185185174,12.835555555555556,425,55.24235294117647,300.0,1.963671500682831,0.0,0.0,0.0,0.0
101,250,DQN,0.5294743529411765,0.6409638554216868,30300,300.0,9,0.001,0.99,-0.33638086419753105,10.403611111111111,412,49.449029126213595,300.0,2.0036323976516726,0.0,0.0,0.0,0.0
102,250,DQN,0.5248155294117647,0.6433734939759036,30600,300.0,9,0.001,0.99,-0.33550864197530844,10.348888888888888,455,55.441758241758244,300.0,1.938690852721532,0.0,0.0,0.0,0.0
103,250,DQN,0.5201567058823529,0.6457831325301204,30900,300.0,9,0.001,0.99,-0.3499586419753086,10.894166666666669,477,58.83018867924528,300.0,1.9837496554851533,0.0,0.0,0.0,0.0
104,250,DQN,0.5154978823529413,0.6481927710843374,31200,300.0,9,0.001,0.99,-0.32392716049382736,10.037777777777777,493,59.6369168356998,300.0,1.962664573987325,0.0,0.0,0.0,0.0
105,250,DQN,0.5108390588235294,0.6506024096385542,31500,300.0,9,0.001,0.99,-0.38576913580246913,12.013425925925926,459,55.17211328976035,300.0,1.9802355066935222,0.0,0.0,0.0,0.0
106,250,DQN,0.5061802352941176,0.653012048192771,31800,300.0,9,0.001,0.99,-0.3166240740740741,9.893333333333333,505,56.19009900990099,300.0,1.9812898850440979,0.0,0.0,0.0,0.0
107,250,DQN,0.5015214117647058,0.655421686746988,32100,300.0,9,0.001,0.99,-0.3683802469135804,11.40398148148148,513,60.668615984405456,300.0,2.0414106750488283,0.0,0.0,0.0,0.0
108,250,DQN,0.49686258823529417,0.6578313253012049,32400,300.0,9,0.001,0.99,-0.4265790123456789,13.183611111111112,397,52.4256926952141,300.0,2.0114819383621216,0.0,0.0,0.0,0.0
109,250,DQN,0.49220376470588234,0.6602409638554216,32700,300.0,9,0.001,0.99,-0.3661907407407407,11.366851851851852,447,56.15212527964206,300.0,2.030596132675807,0.0,0.0,0.0,0.0
110,250,DQN,0.4875449411764706,0.6626506024096386,33000,300.0,9,0.001,0.99,-0.3475839506172842,10.772037037037038,505,60.796039603960395,300.0,2.0565046310424804,0.0,0.0,0.0,0.0
111,250,DQN,0.4828861176470588,0.6650602409638554,33300,300.0,9,0.001,0.99,-0.4363475308641975,13.495,438,51.2648401826484,300.0,2.0211456060409545,0.0,0.0,0.0,0.0
112,250,DQN,0.4782272941176471,0.6674698795180722,33600,300.0,9,0.001,0.99,-0.46342530864197556,14.265555555555556,381,54.036745406824146,300.0,2.0465018983681995,0.0,0.0,0.0,0.0
113,250,DQN,0.47356847058823526,0.6698795180722892,33900,300.0,9,0.001,0.99,-0.41673456790123475,12.856481481481481,457,54.31947483588621,300.0,2.068971860408783,0.0,0.0,0.0,0.0
114,250,DQN,0.46890964705882354,0.672289156626506,34200,300.0,9,0.001,0.99,-0.428137037037037,13.157037037037037,380,52.63421052631579,300.0,2.067139987548192,0.0,0.0,0.0,0.0
115,250,DQN,0.4642508235294117,0.6746987951807228,34500,300.0,9,0.001,0.99,-0.30443641975308644,9.408981481481481,502,58.04382470119522,300.0,2.1095612156391144,0.0,0.0,0.0,0.0
116,250,DQN,0.4595920000000001,0.6771084337349398,34800,300.0,9,0.001,0.99,-0.3997444444444444,12.297037037037038,373,51.710455764075064,300.0,2.1208023873964947,0.0,0.0,0.0,0.0
117,250,DQN,0.4549331764705883,0.6795180722891567,35100,300.0,9,0.001,0.99,-0.37437222222222205,11.554166666666665,504,63.31547619047619,300.0,2.151090152263641,0.0,0.0,0.0,0.0
118,250,DQN,0.45027435294117646,0.6819277108433734,35400,300.0,9,0.001,0.99,-0.3210043209876544,9.967962962962963,467,52.58458244111349,300.0,2.1677362354596457,0.0,0.0,0.0,0.0
119,250,DQN,0.44561552941176474,0.6843373493975904,35700,300.0,9,0.001,0.99,-0.4214993827160495,13.09537037037037,410,49.702439024390245,300.0,2.189848546584447,0.0,0.0,0.0,0.0
120,250,DQN,0.4409567058823529,0.6867469879518072,36000,300.0,9,0.001,0.99,-0.44959753086419757,13.847314814814814,386,52.66062176165803,300.0,2.169570809205373,0.0,0.0,0.0,0.0
121,250,DQN,0.4362978823529412,0.689156626506024,36300,300.0,9,0.001,0.99,-0.33925185185185197,10.513333333333334,504,61.00992063492063,300.0,2.219761644999186,0.0,0.0,0.0,0.0
122,250,DQN,0.4316390588235294,0.691566265060241,36600,300.0,9,0.001,0.99,-0.381382098765432,11.881759259259262,458,54.2117903930131,300.0,2.2554055337111154,0.0,0.0,0.0,0.0
123,250,DQN,0.42698023529411766,0.6939759036144578,36900,300.0,9,0.001,0.99,-0.36790617283950633,11.436388888888889,419,55.976133651551315,300.0,2.3352033925056457,0.0,0.0,0.0,0.0
124,250,DQN,0.42232141176470583,0.6963855421686747,37200,300.0,9,0.001,0.99,-0.3001765432098765,9.334537037037038,449,56.57683741648107,300.0,2.358130863904953,0.0,0.0,0.0,0.0
125,250,DQN,0.4176625882352941,0.6987951807228916,37500,300.0,9,0.001,0.99,-0.3213981481481482,10.001296296296296,478,62.41422594142259,300.0,2.400412072738012,0.0,0.0,0.0,0.0
126,250,DQN,0.4130037647058824,0.7012048192771085,37800,300.0,9,0.001,0.99,-0.3349975308641974,10.384351851851852,382,53.60732984293194,300.0,2.3893985255559285,0.0,0.0,0.0,0.0
127,250,DQN,0.4083449411764706,0.7036144578313253,38100,300.0,9,0.001,0.99,-0.3286956790123456,10.156944444444447,413,48.51089588377724,300.0,2.422212435801824,0.0,0.0,0.0,0.0
128,250,DQN,0.40368611764705886,0.7060240963855422,38400,300.0,9,0.001,0.99,-0.3771462962962962,11.652685185185186,442,55.73303167420814,300.0,2.440739850203196,0.0,0.0,0.0,0.0
129,250,DQN,0.39902729411764704,0.708433734939759,38700,300.0,9,0.001,0.99,-0.3219888888888888,10.002037037037038,476,55.2436974789916,300.0,2.4906306012471515,0.0,0.0,0.0,0.0
130,250,DQN,0.3943684705882353,0.7108433734939759,39000,300.0,9,0.001,0.99,-0.3887456790123456,12.032685185185185,411,49.28710462287105,300.0,2.5061244650681815,0.0,0.0,0.0,0.0
